departure_time,destination
06:23,つばめ303 鹿児島中央
06:46,つばめ305 鹿児島中央
06:50,さくら400 　　　博多
07:13,つばめ307 鹿児島中央
07:27,つばめ306 　　　博多
07:43,つばめ309 鹿児島中央
07:55,つばめ308 　　　博多
08:25,つばめ311 鹿児島中央
08:27,さくら744 　　新大阪
08:49,さくら401 鹿児島中央
08:58,つばめ310 　　　博多
09:28,さくら746 　　新大阪
09:31,さくら403 鹿児島中央
10:19,さくら743 鹿児島中央
10:27,さくら750 　　新大阪
11:29,さくら745 鹿児島中央
11:30,さくら752 　　新大阪
12:06,さくら402 　　　博多
12:52,さくら749 鹿児島中央
13:06,さくら404 　　　博多
14:27,さくら405 鹿児島中央
14:31,さくら758 　　新大阪
14:52,さくら753 鹿児島中央
15:31,さくら762 　　新大阪
16:27,さくら407 鹿児島中央
16:31,さくら766 　　新大阪
17:08,つばめ328 　　　博多
17:27,さくら409 鹿児島中央
17:53,さくら770 　　新大阪
18:27,さくら411 鹿児島中央
18:50,さくら406 　　　博多
18:51,さくら761 鹿児島中央
19:26,さくら772 　　新大阪
19:44,つばめ334 　　　博多
19:55,さくら763 鹿児島中央
20:19,つばめ336 　　　博多
20:55,さくら765 鹿児島中央
20:59,さくら408 　　　広島
21:44,つばめ338 　　　博多
21:55,さくら769 鹿児島中央
22:22,つばめ340 　　　博多
23:05,さくら410 　　　博多
23:13,つばめ343 鹿児島中央
23:46,つばめ342 　　　博多
