departure_time,destination
05:07,n番のりば 　　熊本
05:56,n番のりば 　　熊本
06:13,n番のりば 　　熊本
06:37,n番のりば 肥後大津
06:44,n番のりば 　　鳥栖
06:57,n番のりば 　　熊本
07:12,n番のりば 　　長洲
07:27,n番のりば 　大牟田
08:02,n番のりば 　　鳥栖
08:24,n番のりば 　　熊本
08:46,n番のりば 　　玉名
09:09,n番のりば 　　鳥栖
09:31,n番のりば 　　銀水
09:58,n番のりば 　　銀水
10:23,n番のりば 　　玉名
10:56,n番のりば 　　銀水
11:27,n番のりば 　　熊本
12:04,n番のりば 　　銀水
12:35,n番のりば 　　玉名
13:03,n番のりば 　　銀水
13:28,n番のりば 　　玉名
13:58,n番のりば 　　鳥栖
14:42,n番のりば 　　熊本
15:11,n番のりば 　　熊本
15:37,n番のりば 　　銀水
16:04,n番のりば 　　植木
16:24,n番のりば 　　銀水
16:48,n番のりば 　　銀水
17:14,n番のりば 　　熊本
17:33,n番のりば 　　熊本
17:55,n番のりば 　　銀水
18:14,n番のりば 　　熊本
18:32,n番のりば 　　熊本
18:53,n番のりば 　　熊本
19:10,n番のりば 　　熊本
19:26,n番のりば 　　銀水
19:47,n番のりば 　　熊本
20:13,n番のりば 　　熊本
20:39,n番のりば 　　熊本
21:09,n番のりば 　　博多
21:51,n番のりば 　大牟田
22:25,n番のりば 　　熊本
22:54,n番のりば 　大牟田
